ID,Start time,Completion time,Email,Name,Last modified time,"I consent to take part in this research having read the above information and confirm that I am a UK resident and over 18 years old.
",How old are you?,What is your gender?,What is the highest level of education you have completed?,What best describes your primary academic or professional background?,"How often do you use a general-purpose LLMs such as ChatGPT, Claude or Gemini?",How long have you been using LLMs regularly?,How long do you typically spend in a single session with an LLM?,Which of the following general-purpose LLMs you have used in the past 3 months? Select all that apply.,Which of the following best describes how you most commonly use LLMs? Select all that apply.,"How often do you use LLMs for personal or emotionally significant conversations, as opposed to practical tasks?","When interacting with an LLM, how often do you use polite language such as ""please"" or ""thank you""?",What best describes your reason for using polite language? Select all that apply.,How does an LLM like ChatGPT primarily generate its responses?,True or false: ChatGPT remembers the content of previous conversations by default and uses this to inform future responses.,"True or false: an LLM will always give the same response to the same question.
",True or false: LLMs understand the meaning of language in the same way humans do.,"To what extent does a cheetah experience emotions?
","To what extent does the average robot have consciousness?
","To what extent does the average insect have a mind of its own?
","To what extent does a television set experience emotions?
","To what extent does the average reptile have consciousness?
","To what extent does the average computer have a mind of its own?
",I sometimes look forward to conversations with LLMs.,I have felt that an LLM understood me in a meaningful way.,"When an LLM expresses interest in what I am saying, it feels genuine rather than mechanical.",I sometimes feel that an LLM is engaged with me as an individual rather than simply processing my input.,I have used an LLM for conversation or support when I would otherwise have talked to another person.,I find it easier to discuss certain topics with an LLM than with people I know.,LLMs are capable of having something like subjective experience.,"When an LLM produces a response, something is happening internally that resembles a mental state. ","LLMs can have states that function like emotions, even if these differ from human emotions",It is possible that current LLMs have some form of inner life.,"LLMs genuinely understand the meaning of what they say, rather than processing statistical patterns","When an LLM expresses curiosity or enthusiasm, this reflects something real about its internal state.","LLMs have something that functions like preferences, even if these are not consciously chosen.",An LLM can have intentions about the outcome of a conversation.
95,5/19/26 13:05:32,5/19/26 14:27:47,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Multiple times a week,6-12 months,30-60 minutes,Gemini;ChatGPT;Claude;perplexity;,Coding;Learning or study;Idea generation;Writing assistance;Information search;,Never,Often,I think it may affect the quality of responses;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,10,1,7,1,10,1,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
96,5/19/26 14:17:44,5/19/26 14:28:00,anonymous,,,I Agree,18-24,Male,"Certificate of Higher Education from 1 year of Bsc course, if not A-Levels",STEM,Weekly,1-2 years,Under 5 minutes,Claude;ChatGPT;Gemini;,Information search;Writing assistance;,Never,Rarely,It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,4,1,3,1,1,1,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree
97,5/19/26 14:24:16,5/19/26 14:36:49,anonymous,,,I Agree,18-24,Female,Certificate/Diploma/NVQ,,Multiple times a week,3-6 months,Under 5 minutes,Gemini;,Idea generation;Learning or study;Information search;,Rarely,Sometimes,It is a habit from human conversation;It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,Don't know,FALSE,FALSE,8,3,2,1,4,1,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat agree,Disagree
98,5/19/26 14:36:13,5/19/26 14:39:55,anonymous,,,I Agree,18-24,Male,Degree,Humanities,More than once a day,1-2 years,5-15 minutes,ChatGPT;Claude;Grok;Gemini;Copilot;,Coding;Information search;Writing assistance;Learning or study;Idea generation;,Rarely,Always,It is a habit from human conversation;It feels uncomfortable not to;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,10,1,10,1,10,2,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree
99,5/19/26 14:48:27,5/19/26 15:07:16,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,Monthly,1-2 years,Under 5 minutes,Claude;,Coding;Learning or study;Information search;Idea generation;,Never,Rarely,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,4,1,2,1,5,1,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Agree,Disagree
100,5/19/26 15:07:30,5/19/26 15:10:30,anonymous,,,I Agree,25-29,Male,A-level/Higher grade,,Weekly,3-6 months,30-60 minutes,Gemini;,Learning or study;Idea generation;Information search;Writing assistance;,Never,Sometimes,It is a habit from human conversation;I am uncertain/believe that it matters to the LLM ;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,10,1,9,1,10,1,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Agree,Agree
101,5/19/26 15:41:42,5/19/26 15:51:04,anonymous,,,I Agree,18-24,Male,Certificate/Diploma/NVQ,,Daily,More than 2 years,15-30 minutes,Grok;Claude;Gemini;Deepseek;ChatGPT;,Information search;Creative projects;Writing assistance;Coding;Learning or study;Idea generation;,Never,Always,I think it may affect the quality of responses;It feels uncomfortable not to;It is a habit from human conversation;,Don't know,TRUE,FALSE,FALSE,8,2,8,1,8,5,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
102,5/19/26 16:40:22,5/19/26 16:52:49,anonymous,,,I Agree,55-64,Female,Degree,Business,Multiple times a week,1-2 years,15-30 minutes,Claude;Grok;ChatGPT;,Information search;Idea generation;Learning or study;General conversation;,Rarely,Always,It feels uncomfortable not to;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,Don't know,9,2,7,1,7,2,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree
103,5/19/26 17:48:30,5/19/26 17:53:32,anonymous,,,I Agree,55-64,Female,Degree,Business,Never,,,,,,,,By retrieving relevant information from a continuously updated database,Don't know,FALSE,Don't know,1,1,10,1,1,1,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Somewhat disagree
104,5/19/26 18:00:13,5/19/26 18:08:41,anonymous,,,I Agree,55-64,Female,Postgraduate,Mixed,Daily,3-6 months,Under 5 minutes,Copilot;ChatGPT;,Information search;Learning or study;,Rarely,Never,,By searching and summarising content from the internet ,FALSE,FALSE,FALSE,3,3,3,1,3,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Somewhat agree,Disagree,Strongly disagree,Disagree,Strongly disagree
105,5/19/26 18:10:56,5/19/26 18:16:55,anonymous,,,I Agree,45-54,Female,Postgraduate,STEM,Multiple times a week,1-2 years,15-30 minutes,ChatGPT;Gemini;Copilot;,Information search;Learning or study;Idea generation;Writing assistance;,Rarely,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,10,1,8,1,10,1,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
106,5/19/26 18:40:19,5/19/26 18:44:08,anonymous,,,I Agree,55-64,Female,Postgraduate,STEM,Multiple times a week,Less than 3 months,5-15 minutes,ChatGPT;Copilot;,Information search;Learning or study;,Rarely,Often,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,5,3,4,1,4,1,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree
107,5/20/26 8:10:17,5/20/26 8:18:02,anonymous,,,I Agree,45-54,Male,Degree,Business,More than once a day,6-12 months,5-15 minutes,ChatGPT;Claude;Gemini;,Idea generation;Writing assistance;Information search;,Never,Sometimes,It is a habit from human conversation;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,7,1,3,1,7,1,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree
108,5/20/26 11:31:42,5/20/26 11:35:58,anonymous,,,I Agree,35-44,Female,Degree,Arts,More than once a day,1-2 years,30-60 minutes,ChatGPT;Gemini;Claude;,Creative projects;Learning or study;Idea generation;Writing assistance;General conversation;Personal or emotional discussion;,Sometimes,Sometimes,It is a habit from human conversation;,Don't know,TRUE,FALSE,Don't know,5,1,3,1,4,1,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
109,5/20/26 13:54:55,5/20/26 14:01:05,anonymous,,,I Agree,55-64,Male,Postgraduate,Business,Less than once a month,,5-15 minutes,Copilot;ChatGPT;,Writing assistance;Information search;,Never,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,Don't know,FALSE,FALSE,7,1,3,1,4,1,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
110,5/20/26 14:22:05,5/20/26 14:28:46,anonymous,,,I Agree,45-54,Male,Certificate/Diploma/NVQ,,More than once a day,More than 2 years,5-15 minutes,Claude;Copilot;Gemini;,Information search;Coding;Learning or study;Idea generation;,Never,Rarely,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,8,1,10,1,10,1,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
111,5/20/26 17:40:59,5/20/26 17:52:46,anonymous,,,I Agree,55-64,Female,Postgraduate,Business,Less than once a month,,5-15 minutes,Grok;,DRAFTING DOCUMENTS;,Never,Always,It feels uncomfortable not to;,By searching and summarising content from the internet ,Don't know,FALSE,FALSE,10,2,10,1,10,1,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
112,5/20/26 15:31:59,5/20/26 17:56:30,anonymous,,,I Agree,18-24,Male,Postgraduate,STEM,Daily,6-12 months,5-15 minutes,ChatGPT;Claude;Gemini;,Creative projects;Writing assistance;Coding;Information search;,Rarely,Often,I think it may affect the quality of responses;It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,10,1,10,1,10,1,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree
113,5/20/26 18:08:45,5/20/26 18:13:35,anonymous,,,I Agree,55-64,Male,Doctoral,STEM,Less than once a month,,5-15 minutes,ChatGPT;,Idea generation;Information search;,Never,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,3,1,2,1,3,1,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Neither agree nor disagree
114,5/20/26 19:22:33,5/20/26 19:41:13,anonymous,,,I Agree,35-44,Female,Postgraduate,Geography and Environment science ,More than once a day,6-12 months,Under 5 minutes,Copilot;Perplexity ;,Information search;Writing assistance;Learning or study;Idea generation;,Rarely,Sometimes,I think it may affect the quality of responses;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,7,8,3,1,5,1,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Agree
115,5/20/26 21:51:42,5/20/26 21:55:44,anonymous,,,I Agree,18-24,Female,Degree,Arts and Sciences,Less than once a month,,15-30 minutes,ChatGPT;Claude;,Writing assistance;Idea generation;Information search;,Never,Always,It is a habit from human conversation;It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,Don't know,FALSE,FALSE,8,2,3,1,10,6,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree
116,5/20/26 21:47:33,5/20/26 21:57:35,anonymous,,,I Agree,45-54,Female,Degree,Social sciences,Weekly,3-6 months,15-30 minutes,ChatGPT;Copilot;Gemini;,Writing assistance;Consolidation and refinement of work projects;,Never,Always,It is a habit from human conversation;It feels uncomfortable not to;,By searching and summarising content from the internet ,TRUE,FALSE,FALSE,5,2,3,1,6,3,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree
117,5/21/26 8:25:29,5/21/26 8:33:47,anonymous,,,I Agree,45-54,Female,Degree,Social sciences,Weekly,3-6 months,30-60 minutes,ChatGPT;,Learning or study;Creative projects;,Sometimes,Always,It is a habit from human conversation;It feels uncomfortable not to;,By applying a structured set of logical rules to interpret and respond to input,Don't know,FALSE,FALSE,7,3,8,1,8,1,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
118,5/21/26 9:57:30,5/21/26 10:02:12,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Multiple times a week,6-12 months,Under 5 minutes,Copilot;,Information search;Writing assistance;,Never,Rarely,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,8,2,7,1,8,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree
119,5/21/26 10:02:06,5/21/26 11:27:37,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,Multiple times a week,6-12 months,15-30 minutes,ChatGPT;Grok;,Coding;Information search;Idea generation;,Never,Often,It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,7,2,5,1,7,2,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
120,5/21/26 16:57:19,5/21/26 17:06:50,anonymous,,,I Agree,55-64,Male,A-level/Higher grade,,Weekly,1-2 years,Under 5 minutes,ChatGPT;Gemini;Copilot;Claude;,Information search;,Never,Never,,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,10,1,6,1,6,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
121,5/22/26 16:53:05,5/22/26 16:58:02,anonymous,,,I Agree,25-29,Female,Certificate/Diploma/NVQ,,Less than once a month,,5-15 minutes,ChatGPT;,Information search;Coding;Learning or study;,Never,Never,,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,8,1,6,1,7,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree
122,5/23/26 10:51:00,5/23/26 10:57:41,anonymous,,,I Agree,55-64,Female,Postgraduate,Business,Weekly,6-12 months,15-30 minutes,Claude;ChatGPT;,Writing assistance;Idea generation;Information search;,Rarely,Often,It is a habit from human conversation;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,10,1,6,1,8,1,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree
123,5/23/26 13:41:50,5/23/26 13:48:46,anonymous,,,I Agree,45-54,Male,Degree,Business,More than once a day,3-6 months,5-15 minutes,ChatGPT;Copilot;,Information search;Writing assistance;Creative projects;,Rarely,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,7,1,5,1,6,1,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree
124,5/23/26 18:11:21,5/23/26 18:15:44,anonymous,,,I Agree,45-54,Female,Degree,Business,Daily,1-2 years,5-15 minutes,ChatGPT;Claude;Copilot;,Writing assistance;Idea generation;Information search;,Rarely,Never,,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,8,5,5,5,7,7,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree
